"Sector","Size","All_skills"
"Accounting & Legal","Medium Small","python, software, aws, analysis, azure, big data, project, computer, scala, sas, analytical, computer science, analytics, r, data, e, programming, data science, data analytics, business analysis, degree, algorithm, budget, optimization, solid, business, g, develop, modeling, focus, mathematics, ml, machine learning"
"Agriculture & Forestry","Small","sql, python, database, analysis, data analysis, communication, performance, automated, tableau, analytical, bi, r, support, data, e, basic, degree, statistics, s, sql queries, power bi, dashboard, etc, ad, etc.1, bi tools, business, statistical analysis, g, requirements, s.1, mathematics, tools, presentation, report, sql, python, database, analysis, data analysis, communication, performance, automated, tableau, analytical, bi, r, support, data, e, basic, degree, statistics, s, sql queries, power bi, dashboard, etc, ad, etc.1, bi tools, business, statistical analysis, g, requirements, s.1, mathematics, tools, presentation, report, sql, java, python, development, systems, mysql, hadoop, engineering, test, nosql, quality, apache, big data, spark, automation, computer, scala, computer science, design, hive, documentation, kafka, integration, testing, postgresql, cassandra, data, programming, rdbms, data science, tdd, redis, degree, algorithm, apis, framework, s, functional, gcp, test automation, backend, technical, distributed systems, build, solid, develop, hands, requirements, s.1, data processing, technology, machine learning, tools, bigquery"
"Arts, Entertainment & Recreation","Large","sql, python, development, software, systems, agile, aws, cloud, hadoop, sdlc, etl, engineering, test, rest, scrum, nosql, software development, quality, apache, big data, spark, automation, desktop, performance, algorithms, integration, testing, analytics, healthcare, ci, data, e, developer, mobile, can, tdd, apache spark, engineer, budget, s, test cases, technical, go, end, office , financial, cross, snowflake, build, kanban, real, amazon, data quality, full, g, develop, next, reliable, s.1, focus, scalability, impact, solutions, frameworks, machine learning, based, high, training, sql, python, development, software, systems, agile, aws, cloud, hadoop, sdlc, etl, engineering, test, rest, scrum, nosql, software development, quality, apache, big data, spark, automation, desktop, performance, algorithms, integration, testing, analytics, healthcare, ci, data, e, developer, mobile, can, tdd, apache spark, engineer, budget, s, test cases, technical, go, end, office , financial, cross, snowflake, build, kanban, real, amazon, data quality, full, g, develop, next, reliable, s.1, focus, scalability, impact, solutions, frameworks, machine learning, based, high, training"
"Biotech & Pharmaceuticals","Medium Large","analysis, application, test, access, analytical, testing, data, basic, specification, validation, degree, materials, s, technical, environmental, laboratory, objective, recruitment, requirements, s.1, monitoring, based, report"
"Business Services","Large","sql, python, management, development, software, application, engineering, ux, engineers, software development, applications, project, communication, computer, networks, performance, analytical, computer science, design, leadership, automotive, video, testing, analytics, healthcare, support, data, programming, data science, multi, best practices, libraries, statistics, iterative, s, lead, environmental, end, product development, client, build, creativity, real, business, transformation, develop, innovation, s.1, visual design, focus, mathematics, ai, evaluation, impact, solutions, frameworks, machine learning, based, energy, presentation, training, sql, java, security, python, management, development, software, agile, database, aws, system, cloud, c, engineering, ux, azure, engineers, project, computer, scala, performance, computer science, design, information security, leadership, video, kubernetes, analytics, r, support, data, data science, best practices, data analytics, degree, ups, functional, gcp, production, d, technical, workflow, cross, client, build, creativity, mentorship, real, stack, business, hands, pyspark, databricks, focus, mathematics, impact, presentations, solutions, machine learning, software engineering, c.1, training, sql, python, management, development, software, application, engineering, ux, engineers, software development, applications, project, communication, computer, networks, performance, analytical, computer science, design, leadership, automotive, video, testing, analytics, healthcare, support, data, programming, data science, multi, best practices, libraries, statistics, iterative, s, lead, environmental, end, product development, client, build, creativity, real, business, transformation, develop, innovation, s.1, visual design, focus, mathematics, ai, evaluation, impact, solutions, frameworks, machine learning, based, energy, presentation, training, sql, java, security, python, management, development, software, agile, database, aws, system, cloud, c, engineering, ux, azure, engineers, project, computer, scala, performance, computer science, design, information security, leadership, video, kubernetes, analytics, r, support, data, data science, best practices, data analytics, degree, ups, functional, gcp, production, d, technical, workflow, cross, client, build, creativity, mentorship, real, stack, business, hands, pyspark, databricks, focus, mathematics, impact, presentations, solutions, machine learning, software engineering, c.1, training, python, management, development, project management, engineering, scripts, applications, project, access, support, data, programming, matlab, degree, s, physics, client, recruitment, strategy, requirements, s.1, acquisition, report, training"
"Business Services","Medium Large","sql, management, software, analysis, system, c, project, communication, computer, computer science, documentation, implementation, t, testing, supervision, analytics, data, basic, multi, can, validation, f, degree, statistics, s, consulting, sql queries, consultant, etc, financial, cross, education, client, etc.1, business, distribution, s.1, regression, c.1, presentation, sql, python, management, software, analysis, system, excel, test, quality, data analysis, project, communication, computer, performance, sas, tableau, computer science, documentation, implementation, supervision, analytics, bi, r, data, basic, multi, degree, s, consulting, sql queries, consultant, vba, power bi, etc, financial, education, client, etc.1, reporting, visualization, business, ms, s.1, ms excel, regression, solutions, machine learning, presentation, python, management, systems, analysis, engineering, engineers, applications, quality, access, communication, computer, performance, analytical, computer science, algorithms, analytics, r, support, data, mobile, data science, can, degree, ups, statistics, s, lead, production, risk, technical, risk assessment, financial, solid, digital, business, statistical analysis, develop, requirements, s.1, mathematics, solutions, frameworks, machine learning, tools, detail, business acumen, decision support, sql, management, software, analysis, system, c, project, communication, computer, computer science, documentation, implementation, t, testing, supervision, analytics, data, basic, multi, can, validation, f, degree, statistics, s, consulting, sql queries, consultant, etc, financial, cross, education, client, etc.1, business, distribution, s.1, regression, c.1, presentation, sql, python, management, software, analysis, system, excel, test, quality, data analysis, project, communication, computer, performance, sas, tableau, computer science, documentation, implementation, supervision, analytics, bi, r, data, basic, multi, degree, s, consulting, sql queries, consultant, vba, power bi, etc, financial, education, client, etc.1, reporting, visualization, business, ms, s.1, ms excel, regression, solutions, machine learning, presentation"
"Business Services","Medium Small","sql, python, systems, analysis, engineering, engineers, computer, performance, analytical, computer science, design, algorithms, testing, data, data science, can, best practices, libraries, degree, statistics, data visualization, s, sql queries, production, etc, financial, client, build, etc.1, solid, visualization, business, continuous improvement, develop, s.1, databases, mathematics, technology, regression, solutions, machine learning, accessibility, high, presentation, sql, python, management, analysis, mysql, application, etl, spark, data analysis, communication, business requirements, sales, hive, algorithms, implementation, analytics, research, teradata, r, data, e, programming, data science, data analytics, libraries, com, statistics, data visualization, s, lead, pmo, etc, education, client, etc.1, digital, visualization, business, transformation, g, hands, pyspark, requirements, s.1, focus, technology, ai, presentations, solutions, data mining, high, sql, java, python, analysis, system, cloud, engineering, test, nosql, big data, computer, mongodb, analytical, computer science, hive, algorithms, testing, cassandra, r, data, e, programming, hbase, engineer, specification, degree, pig, statistics, s, functional, technical, etc, financial, ad, client, google cloud, etc.1, solid, business, g, develop, s.1, databases, mathematics, ml, regression, machine learning, tools, training, sql, python, management, development, software, systems, agile, unix, architecture, aws, cloud, etl, test, nosql, engineers, json, project, communication, infrastructure, performance, design, data architecture, data, e, shell, supply chain, best practices, s, lead, gcp, data governance, technical, switch, etc, client, software design, build, data structure, governance, etc.1, script, shell script, business, agile development, s.1, data processing, databases, technology, datawarehouse, tools, based, high, java, python, management, systems, cloud, engineering, test, big data, project, computer, analytical, computer science, algorithms, foundation, analytics, r, data, e, programming, data science, data analytics, degree, statistics, s, lead, etc, ad, cross, scientific, client, google cloud, build, etc.1, solid, business, g, develop, s.1, databases, mathematics, technology, ml, solutions, machine learning, tools, based, training, sql, python, management, analysis, excel, business intelligence, data analysis, communication, tableau, automotive, r, data, e, commerce, engineer, s, vba, technical, etc, client, etc.1, solid, strategy, data collection, business, requirements, s.1, tools, detail, sql, management, development, systems, agile, database, aws, cloud, etl, engineering, azure, automation, communication, analytical, design, postgresql, bi, data, e, s, sql queries, gcp, technical, switch, product development, financial, client, build, real, solid, business, agile development, s.1, technology, datawarehouse, impact, solutions, machine learning, bigquery, debug, sql, java, linux, python, management, oracle, database, architecture, aws, web, mysql, sql server, hadoop, etl, engineering, web services, nosql, data warehouse, quality, apache, big data, spark, amazon web services, computer, infrastructure, scala, automated, mongodb, microsoft sql server, design, integration, exchange, postgresql, cassandra, data management, analytics, bi, research, support, data, e, programming, can, apache spark, microsoft, database design, data analytics, degree, statistics, s, apache hadoop, consulting, financial services, server, administration, deployment, retail, financial, client, data modeling, reporting, amazon, data quality, digital, business, g, develop, hands, modeling, procedures, s.1, databases, technology, metadata, microsoft sql, solutions, machine learning, tools, based, sql, java, python, management, development, software, systems, agile, aws, analysis, cloud, hadoop, etl, test, azure, nosql, engineers, quality, big data, spark, communication, infrastructure, performance, automated, design, postgresql, data management, kubernetes, analytics, data, best practices, storage, data analytics, s, lead, production, technical, switch, redshift, end, storm, etc, financial, client, google cloud, software design, build, etc.1, solid, business, develop, elastic search, agile development, s.1, data processing, databases, focus, scalability, technology, solutions, data integrity, delivery, machine learning, tools, articulate, high, management, analysis, excel, automation, data analysis, data management, support, data, e, commerce, ecommerce, migration, data migration, finance, s, financial, client, reporting, business, s.1, accounting, sql, python, management, systems, analysis, application, excel, business intelligence, risk management, quality, data analysis, communication, data management, analytics, r, data, data analytics, degree, financial services, risk, financial, recruitment, data collection, business, ms, develop, requirements, databases, ms excel, technology, tools, presentation, java, python, management, software, systems, architecture, cloud, engineering, test, engineers, project, computer, analytical, computer science, design, algorithms, implementation, foundation, data, programming, data science, libraries, degree, statistics, s, lead, operations, technical, etc, ad, cross, client, google cloud, build, etc.1, solid, business, systems design, develop, s.1, data processing, mathematics, software architecture, technology, ai, ml, solutions, frameworks, machine learning, tools, based, training, sql, python, systems, analysis, engineering, engineers, computer, performance, analytical, computer science, design, algorithms, testing, data, data science, can, best practices, libraries, degree, statistics, data visualization, s, sql queries, production, etc, financial, client, build, etc.1, solid, visualization, business, continuous improvement, develop, s.1, databases, mathematics, technology, regression, solutions, machine learning, accessibility, high, presentation, sql, python, management, analysis, mysql, application, etl, spark, data analysis, communication, business requirements, sales, hive, algorithms, implementation, analytics, research, teradata, r, data, e, programming, data science, data analytics, libraries, com, statistics, data visualization, s, lead, pmo, etc, education, client, etc.1, digital, visualization, business, transformation, g, hands, pyspark, requirements, s.1, focus, technology, ai, presentations, solutions, data mining, high, sql, java, python, analysis, system, cloud, engineering, test, nosql, big data, computer, mongodb, analytical, computer science, hive, algorithms, testing, cassandra, r, data, e, programming, hbase, engineer, specification, degree, pig, statistics, s, functional, technical, etc, financial, ad, client, google cloud, etc.1, solid, business, g, develop, s.1, databases, mathematics, ml, regression, machine learning, tools, training, sql, python, management, systems, analysis, application, excel, business intelligence, risk management, quality, data analysis, communication, data management, analytics, r, data, data analytics, degree, financial services, risk, financial, recruitment, data collection, business, ms, develop, requirements, databases, ms excel, technology, tools, presentation, sql, java, linux, python, management, oracle, database, architecture, aws, web, mysql, sql server, hadoop, etl, engineering, web services, nosql, data warehouse, quality, apache, big data, spark, amazon web services, computer, infrastructure, scala, automated, mongodb, microsoft sql server, design, integration, exchange, postgresql, cassandra, data management, analytics, bi, research, support, data, e, programming, can, apache spark, microsoft, database design, data analytics, degree, statistics, s, apache hadoop, consulting, financial services, server, administration, deployment, retail, financial, client, data modeling, reporting, amazon, data quality, digital, business, g, develop, hands, modeling, procedures, s.1, databases, technology, metadata, microsoft sql, solutions, machine learning, tools, based, sql, java, python, management, development, software, systems, agile, aws, analysis, cloud, hadoop, etl, test, azure, nosql, engineers, quality, big data, spark, communication, infrastructure, performance, automated, design, postgresql, data management, kubernetes, analytics, data, best practices, storage, data analytics, s, lead, production, technical, switch, redshift, end, storm, etc, financial, client, google cloud, software design, build, etc.1, solid, business, develop, elastic search, agile development, s.1, data processing, databases, focus, scalability, technology, solutions, data integrity, delivery, machine learning, tools, articulate, high, management, analysis, excel, automation, data analysis, data management, support, data, e, commerce, ecommerce, migration, data migration, finance, s, financial, client, reporting, business, s.1, accounting, java, python, management, software, systems, architecture, cloud, engineering, test, engineers, project, computer, analytical, computer science, design, algorithms, implementation, foundation, data, programming, data science, libraries, degree, statistics, s, lead, operations, technical, etc, ad, cross, client, google cloud, build, etc.1, solid, business, systems design, develop, s.1, data processing, mathematics, software architecture, technology, ai, ml, solutions, frameworks, machine learning, tools, based, training, sql, python, management, analysis, excel, business intelligence, data analysis, communication, tableau, automotive, r, data, e, commerce, engineer, s, vba, technical, etc, client, etc.1, solid, strategy, data collection, business, requirements, s.1, tools, detail"
"Business Services","Small","sql, python, software, architecture, analysis, sql server, hadoop, pl, test, spark, tableau, documentation, r, data, e, programming, business objects, full time, cognos, s, server, graphics, reporting, solid, business, full, statistical analysis, s.1, spss, development, analysis, quality, data analysis, communication, quality assurance, research, support, data, can, degree, statistics, s, consulting, risk, technical, environmental, insurance, risk assessment, scientific, visualization, reports, act, biology, s.1, medical, presentations, development, software, analysis, project, communication, leadership, support, data, can, degree, full time, s, consulting, technical, environmental, insurance, office , mentorship, full, reports, act, s.1, medical, development, analysis, engineering, quality, communication, support, data, can, engineer, degree, full time, s, consulting, technical, environmental, insurance, civil, office , mentorship, full, reports, act, s.1, medical, presentation, sql, python, software, architecture, analysis, sql server, hadoop, pl, test, spark, tableau, documentation, r, data, e, programming, business objects, full time, cognos, s, server, graphics, reporting, solid, business, full, statistical analysis, s.1, spss, development, analysis, quality, data analysis, communication, quality assurance, research, support, data, can, degree, statistics, s, consulting, risk, technical, environmental, insurance, risk assessment, scientific, visualization, reports, act, biology, s.1, medical, presentations, development, software, analysis, project, communication, leadership, support, data, can, degree, full time, s, consulting, technical, environmental, insurance, office , mentorship, full, reports, act, s.1, medical, development, analysis, engineering, quality, communication, support, data, can, engineer, degree, full time, s, consulting, technical, environmental, insurance, civil, office , mentorship, full, reports, act, s.1, medical, presentation"
"Data Analysis","Large","network, excel, ms office, data, e, com, analyst, office , ms, word, ms excel"
"Data Analysis","Medium Large","sql, python, management, aws, cloud, project management, spark, project, communication, computer, performance, tableau, bi, data, multi, etc, etc.1, real, bi tools, organizational, data processing, solutions, machine learning, tools, sql, java, management, development, net, web, analysis, mysql, system, sql server, c, php, big data, automation, asp, computer, desktop, design, data management, r, data, data science, basic, visual basic, algorithm, analyst, statistics, data visualization, server, net.1, education, email, real, visualization, business, iot, requirements, machine learning, c.1, communication, analytical, data, data science, degree, information technology, mathematics, technology, tools, presentation, sql, python, management, aws, cloud, project management, spark, project, communication, computer, performance, tableau, bi, data, multi, etc, etc.1, real, bi tools, organizational, data processing, solutions, machine learning, tools, communication, analytical, data, data science, degree, information technology, mathematics, technology, tools, presentation"
"Data Analysis","Medium Small","management, engineering, business intelligence, quality, computer, computer science, design, integration, analytics, bi, data, e, data science, commerce, technical, insurance, collaboration, dashboard, education, reporting, business, ms, continuous improvement, requirements, technology, ai, medical, machine learning, development, application, engineering, sales, metrics, analytics, case, etc, build, etc.1, strategy, business, reports, next, requirements, impact, tools, based, sql, java, python, management, development, systems, analysis, quality, big data, computer, automated, computer science, algorithms, testing, metrics, r, data, statistics, s, sql queries, production, etc, ad, build, etc.1, visualization, business, statistical analysis, develop, s.1, focus, ml, regression, data mining, tools, based, high, java, python, software, systems, architecture, system, application, hadoop, etl, engineering, business intelligence, data warehouse, quality, spark, communication, computer, mongodb, analytical, computer science, implementation, kafka, foundation, cassandra, saas, data, programming, libraries, degree, postgres, case, s, insurance, distributed systems, office , etc, data modeling, etc.1, data collection, business, maintenance, system architecture, modeling, next, requirements, s.1, data processing, mathematics, technology, ai, ml, solutions, frameworks, machine learning, flask, high, management, analysis, automation, communication, analytics, data, data science, can, degree, consult, lead, operations, d, technical, etc, etc.1, strategy, visualization, business, ms, develop, hands, modeling, requirements, data mining, machine learning, high, presentation, management, analysis, data analysis, analytical, data management, data, degree, information technology, business process, technical, process improvement, business, requirements, technology, solutions, detail, development, api, communication, computer, computer science, design, implementation, data, degree, requirements, databases, sql, management, analysis, business intelligence, data warehouse, data analysis, communication, analytical, analytics, data, degree, technical, business, requirements, mathematics, detail, system, excel, communication, leadership, analytics, data, microsoft excel, microsoft, data analytics, degree, etc, etc.1, digital, requirements, google analytics, social media, analytics, data, data analytics, degree, business, requirements, economics, analysis, big data, sas, data, etc, etc.1, requirements, training, sql, engineering, mongodb, research, degree, s, requirements, s.1, mathematics, security, linux, database, network, hardware, nosql, data warehouse, big data, db, design, implementation, network security, supervision, data, case, open source, business process, troubleshoot, business, maintenance, develop, hands, technology, high, presentation, management, engineering, business intelligence, quality, computer, computer science, design, integration, analytics, bi, data, e, data science, commerce, technical, insurance, collaboration, dashboard, education, reporting, business, ms, continuous improvement, requirements, technology, ai, medical, machine learning, development, application, engineering, sales, metrics, analytics, case, etc, build, etc.1, strategy, business, reports, next, requirements, impact, tools, based, java, python, software, systems, architecture, system, application, hadoop, etl, engineering, business intelligence, data warehouse, quality, spark, communication, computer, mongodb, analytical, computer science, implementation, kafka, foundation, cassandra, saas, data, programming, libraries, degree, postgres, case, s, insurance, distributed systems, office , etc, data modeling, etc.1, data collection, business, maintenance, system architecture, modeling, next, requirements, s.1, data processing, mathematics, technology, ai, ml, solutions, frameworks, machine learning, flask, high, security, linux, database, network, hardware, nosql, data warehouse, big data, db, design, implementation, network security, supervision, data, case, open source, business process, troubleshoot, business, maintenance, develop, hands, technology, high, presentation, java, python, software, systems, cloud, engineering, big data, communication, infrastructure, data, degree, information technology, etc, etc.1, requirements, databases, technology, software engineering, based, management, analysis, automation, communication, analytics, data, data science, can, degree, consult, lead, operations, d, technical, etc, etc.1, strategy, visualization, business, ms, develop, hands, modeling, requirements, data mining, machine learning, high, presentation, sql, engineering, mongodb, research, degree, s, requirements, s.1, mathematics, analytics, data, data analytics, degree, business, requirements, economics, system, excel, communication, leadership, analytics, data, microsoft excel, microsoft, data analytics, degree, etc, etc.1, digital, requirements, google analytics, social media, analysis, big data, sas, data, etc, etc.1, requirements, training, management, analysis, data analysis, analytical, data management, data, degree, information technology, business process, technical, process improvement, business, requirements, technology, solutions, detail"
